Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,AF lock IDs,AF target(s),AF endpoint stratum(s),AF reconciliation action(s),AF include strict,AF include sensitivity,AF overall RoB,AF unresolved priority,AF hold/exclude note,AF source-truth result(s)
Luo 2026,LUO26_TEAS_vs_SHAM_NAUSEA48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,PONV,Cumulative postoperative nausea,0-48 h,Events/total,138,139,138,139,,,,,,24,,,,,,53,participants,<0.01,Yes,No,RR,0.45611156685808035,No,No,Eligible for dichotomous 48-h nausea analysis,No,Participant blinding was empirically poor: 77.5% of TEAS and 66.2% of sham participants correctly guessed allocation,Primary outcome / cumulative nausea,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED,D-008,D,D_nausea_0-48h,MATCHED,1,0,High,,,24/138 vs 53/139
Luo 2026,LUO26_TEAS_vs_SHAM_VOMIT48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,PONV,Cumulative postoperative vomiting,0-48 h,Events/total,138,139,138,139,,,,,,9,,,,,,27,participants,<0.01,Yes,No,RR,0.3357487922705314,No,No,Eligible for dichotomous 48-h vomiting analysis,No,"Vomiting is more objective than nausea, but participant masking was incomplete",Primary outcome / cumulative vomiting,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED,D-011,D,D_vomiting_0-48h,MATCHED,1,0,Some concerns,,,9/138 vs 27/139
Luo 2026,LUO26_TEAS_vs_SHAM_COMPLETE48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,PONV,Complete response: no vomiting and no rescue antiemetic,0-48 h,Events/total,138,139,138,139,,,,,,112,,,,,,83,participants,<0.01,Yes,No,RR,1.3591758337698623,No,No,Eligible for dichotomous complete-response analysis,No,Abstract percentage differs slightly from table-derived 112/138; use raw counts,Complete-response result,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED / ABSTRACT % QC,,,,,0,0,,,,
Luo 2026,LUO26_TEAS_vs_SHAM_NRS24,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Pain,Postoperative NRS pain,24 h,Mean/SD,138,139,138,139,1.3,0.92,,,,,1.65,0.95,,,,,NRS 0-10,<0.01,Yes,No,MD,-0.34999999999999987,No,No,Eligible for 24-h pain analysis,No,Rest-versus-movement condition is not reported; participant masking was incomplete,Postoperative pain table / 24 h,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOIDEQUIV,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Perioperative opioid,Published 'sufentanil equivalents' metric,Perioperative,Mean/SD,138,139,138,139,15.86,5.11,,,,,15.18,4.95,,,,,published as mg; definition/unit unresolved,0.27,Yes,No,MD,0.6799999999999997,No,No,Do not harmonize to MME or actual sufentanil mass until authors clarify conversion and unit,No,Source labels approximately 15-16 as 'sufentanil equivalents (mg)' without explaining conversion; preserve verbatim,Table 1 / perioperative opioid metric,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED / UNIT UNRESOLVED,,,,,0,0,,,,
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOID24,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Opioid consumption,Cumulative postoperative oxycodone consumption,0-24 h,Not reported,138,139,138,139,,,,,,,,,,,,,mg oxycodone,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,"Postoperative IV oxycodone is described, but schedule and group-specific cumulative 24-h consumption are not reported",Postoperative analgesia / exact 24-h endpoint absent,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Long 2025,LONG25_TEAS_vs_CTRL_PND1,Perioperative electrical acupoint stimulation,Electrodes/no current,Neurocognitive,Perioperative neurocognitive disorder (PND),POD1,Published event count + percentage; denominator inconsistent,30,30,27,26,,,,,,7,,,,,,14,Active: 7 cases (25.0%); Control: 14 cases (56.0%),NR,Yes,No,,,No,No,Not meta-analysis-ready until event denominators are clarified,No,Published percentages do not reconcile with final analyzed n=27 active/26 control; do not back-calculate denominators,PND incidence table / POD1,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / DENOMINATOR INCONSISTENT,,,,,0,0,,,,
Long 2025,LONG25_TEAS_vs_CTRL_PND3,Perioperative electrical acupoint stimulation,Electrodes/no current,Neurocognitive,Perioperative neurocognitive disorder (PND),POD3,Published event count + percentage; denominator inconsistent,30,30,27,26,,,,,,4,,,,,,12,Active: 4 cases (14.3%); Control: 12 cases (48.0%),NR,Yes,No,,,No,No,Not meta-analysis-ready until event denominators are clarified,No,Published percentages do not reconcile with reported analyzed denominators,PND incidence table / POD3,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / DENOMINATOR INCONSISTENT,,,,,0,0,,,,
Long 2025,LONG25_TEAS_vs_CTRL_VAS24,Perioperative electrical acupoint stimulation,Electrodes/no current,Pain,VAS pain intensity,24 h,Mean/SD,30,30,27,26,2.78,0.97,,,,,3.96,0.96,,,,,VAS 0-10,<0.001,Yes,No,MD,-1.1800000000000002,No,No,Eligible for 24-h pain analysis using Table 7 value,No,Abstract/Results prose gives active 2.65 ± 0.94; Table 7/Figure 9 gives 2.78 ± 0.97. Master uses the directly tabulated Table 7 value and retains discrepancy,Table 7 / Figure 9,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / SOURCE VALUE CONFLICT,,,,,0,0,,,,
Long 2025,LONG25_TEAS_vs_CTRL_PCIA48VOL,Perioperative electrical acupoint stimulation,Electrodes/no current,Opioid demand,PCIA solution consumption,48 h,Mean/SD,30,30,27,26,86.22,4.27,,,,,89.23,3.67,,,,,mL of weight-based sufentanil solution,0.008,Yes,No,MD,-3.010000000000005,No,No,"Eligible only as 48-h pump-volume outcome, not as sufentanil mass",No,"Reservoir contains 2 µg/kg sufentanil in 100 mL; group body weight is unavailable, so solution volume cannot be converted to group mean opioid mass",Table 7 / Figure 9,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,,,,,0,0,,,,
Long 2025,LONG25_TEAS_vs_CTRL_PCIAPRESS48,Perioperative electrical acupoint stimulation,Electrodes/no current,Opioid demand,PCIA compression count,48 h,Mean/SD,30,30,27,26,7.11,2.14,,,,,8.62,1.84,,,,,presses,0.008,Yes,No,MD,-1.509999999999999,No,No,Eligible as 48-h PCA-demand outcome only,No,Do not translate compression count into delivered sufentanil mass,Table 7 / Figure 9,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED,F-PCA-005,F-PCA,F_PCA_behavior,MATCHED,0,1,High,P3,,7.11±2.14 vs8.62±1.84; P=0.008
Long 2025,LONG25_TEAS_vs_CTRL_PONV,Perioperative electrical acupoint stimulation,Electrodes/no current,PONV,PONV incidence,Postoperative,Events/total,30,30,27,26,,,,,,1,,,,,,8,participants,NR,Yes,No,RR,0.12037037037037036,No,No,Eligible for dichotomous PONV analysis using final analyzed denominators,No,Adverse-event percentages elsewhere are internally inconsistent; raw 1/27 vs 8/26 is retained,Adverse events / PONV,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / PERCENTAGE QC,,,,,0,0,,,,
Long 2025,LONG25_TEAS_vs_CTRL_OPIOID24,Perioperative electrical acupoint stimulation,Electrodes/no current,Opioid consumption,Exact cumulative postoperative sufentanil consumption,0-24 h,Not reported,30,30,27,26,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,24-h PCIA volume/compressions are not reported; even 48-h volume cannot be converted exactly to sufentanil mass without body weight,Exact 24-h opioid endpoint absent,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Li 2021,LI21_TEAS_vs_SHAM_BOWEL,Perioperative TEAS,Sham-point/no current,GI recovery,Time to first bowel motion by auscultation,Postoperative,Median/IQR,154,152,140,140,,,31,18.8,45.3,,,,42,22.1,52.4,,hours,<0.01,Yes,No,,,No,No,Eligible for GI-recovery meta-analysis using median/IQR methods,No,26/306 randomized patients excluded in per-protocol analysis; exclusions include ICU transfer and operation cancellation,Primary outcome / first bowel motion,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Li 2021,LI21_TEAS_vs_SHAM_FLATUS,Perioperative TEAS,Sham-point/no current,GI recovery,Time to first flatus,Postoperative,Median/IQR,154,152,140,140,,,44,26.5,63.9,,,,64,30,70.6,,hours,<0.01,Yes,No,,,No,No,Eligible for GI-recovery meta-analysis using median/IQR methods,No,Use PP analyzed denominators explicitly; do not fabricate mean/SD,First-flatus result,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Li 2021,LI21_TEAS_vs_SHAM_PGD,Perioperative TEAS,Sham-point/no current,GI recovery,Postoperative gastrointestinal dysfunction: no bowel sounds >48 h,Postoperative,Events/total,154,152,140,140,,,,,,26,,,,,,44,participants,NR,Yes,No,RR,0.5909090909090909,No,No,Eligible for dichotomous PGD analysis,No,Study-specific PGD definition; majority of events were in colorectal stratum,PGD incidence,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Li 2021,LI21_TEAS_vs_SHAM_PAIN6,Perioperative TEAS,Sham-point/no current,Pain,VAS ≥4,6 h,Events/total,154,152,140,140,,,,,,30,,,,,,50,participants,0.008,Yes,No,RR,0.6,No,No,Eligible for dichotomous 6-h significant-pain analysis,No,Pain is reported as binary VAS ≥4 rather than continuous score,Postoperative pain table / 6 h,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Li 2021,LI21_TEAS_vs_SHAM_OPIOID24,Perioperative TEAS,Sham-point/no current,Opioid consumption,Cumulative postoperative sufentanil consumption,0-24 h,Not reported,154,152,140,140,,,,,,,,,,,,,published pump formulation says 250 mg sufentanil/250 mL,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,"Printed pump unit is clinically implausible, programming is missing, and actual 24-h delivered dose is not reported; do not silently change mg to µg",Postoperative analgesia pump / exact 24-h endpoint absent,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,MISSING / UNIT + DOSE UNRESOLVED,,,,,0,0,,,,
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_MODPAIN24,Perioperative TEAS,Sham-point/no current,Pain,Moderate-to-severe pain (NRS ≥4),Within 24 h,Events/total,64,65,58,62,,,,,,22,,,,,,40,participants,0.004,Yes,No,RR,0.5879310344827586,No,No,Eligible for dichotomous 24-h moderate-to-severe pain analysis,No,"9/129 randomized participants excluded after randomization, including postoperative bleeding and conversion to laparotomy; no ITT sensitivity analysis",Primary outcome / NRS ≥4 within 24 h,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_NRS24,Perioperative TEAS,Sham-point/no current,Pain,NRS pain intensity,24 h,Mean/SD,64,65,58,62,1.2,1.3,,,,,2.8,1.9,,,,,NRS 0-10,0.001,Yes,No,MD,-1.5999999999999999,No,No,Eligible for 24-h pain meta-analysis,No,Active TEAS at maximum tolerated intensity vs sham no current; sensory blinding success was not tested,Serial NRS results / 24 h,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_ANYMORPH,Perioperative TEAS,Sham-point/no current,Rescue opioid use,Any rescue IV morphine use,Through 48 h,Events/total,64,65,58,62,,,,,,19,,,,,,40,participants,<0.001,Yes,No,RR,0.5077586206896552,No,No,Eligible for binary rescue-opioid-use analysis,No,"Morphine was 1 mg IV per administration, but number of administrations and cumulative dose per patient are not reported",Postoperative rescue analgesia,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham-point/no current,PONV,PONV incidence,Postoperative follow-up,Events/total,64,65,58,62,,,,,,4,,,,,,14,participants,Published P/RR internally inconsistent,Yes,No,RR,0.3054187192118227,No,No,Eligible using raw event counts with source-statistic QC,No,Published RR/P-value for PONV are internally inconsistent; use raw 4/58 vs 14/62,Postoperative complication table,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,SOURCE-VERIFIED / PUBLISHED EFFECT QC,,,,,0,0,,,,
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_MORPH24,Perioperative TEAS,Sham-point/no current,Opioid consumption,Cumulative postoperative morphine consumption,0-24 h,Not reported,64,65,58,62,,,,,,,,,,,,,mg IV morphine,,No,No,,,No,No,Not eligible for continuous 24-h morphine/MME meta-analysis without author data,No,"Binary morphine use is reported, but administration counts and cumulative dose are not",Exact 24-h opioid dose absent,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Liu 2021,LIU21_TEAS_vs_CTRL_POCD1,Perioperative TEAS,Electrodes/no current,Neurocognitive,Postoperative cognitive decline (MMSE Z-score ≤ -2),POD1,Events/total,50,50,50,50,,,,,,5,,,,,,11,participants,0.102,Yes,No,RR,0.4545454545454546,No,No,Eligible for dichotomous POD1 POCD analysis,No,"Control prose prints 11 cases as 25%, but 11/50 = 22%; preserve count as authoritative",POCD incidence table / POD1,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,SOURCE-VERIFIED / PERCENTAGE QC,,,,,0,0,,,,
Liu 2021,LIU21_TEAS_vs_CTRL_VASREST24,Perioperative TEAS,Electrodes/no current,Pain,VAS at rest,24 h,Mean/SD,50,50,50,50,2.52,0.505,,,,,2.66,0.626,,,,,VAS,0.221,Yes,No,MD,-0.14000000000000012,No,No,Eligible for 24-h rest-pain analysis,No,Participant blinding is unclear because active stimulation was maximum tolerated and control received no current,Table 2 / 24-h rest VAS,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,SOURCE-VERIFIED,C-002,C,C_rest_pain_~24h,MATCHED,1,0,High,,,2.52±0.505 vs 2.66±0.626; P=0.221
Liu 2021,LIU21_TEAS_vs_CTRL_VASCOUGH24,Perioperative TEAS,Electrodes/no current,Pain,VAS with coughing,24 h,Mean/SD,50,50,50,50,3.2,0.571,,,,,3.16,0.681,,,,,VAS,0.751,Yes,No,MD,0.040000000000000036,No,No,Eligible for 24-h movement/evoked-pain analysis,No,No evidence of analgesic benefit at 24 h,Table 2 / 24-h coughing VAS,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Liu 2021,LIU21_TEAS_vs_CTRL_PCAPRESS24,Perioperative TEAS,Electrodes/no current,Opioid demand,PCA pump compressions,0-24 h,Mean/SD,50,50,50,50,17.62,2.687,,,,,17.38,3.801,,,,,presses,0.716,Yes,No,MD,0.240000000000002,No,No,Eligible as 24-h PCA-demand outcome only,No,Compressions may represent demands rather than successful boluses; do not convert to sufentanil mass,24-h PCA compression result,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,F-PCA-004,F-PCA,F_PCA_behavior,MATCHED,0,1,High,,,17.62±2.687 vs17.38±3.801; P=0.716
Liu 2021,LIU21_TEAS_vs_CTRL_OPIOID24,Perioperative TEAS,Electrodes/no current,Opioid consumption,Cumulative postoperative sufentanil consumption,0-24 h,Not calculable,50,50,50,50,,,,,,,,,,,,,published formulation 0.15 µg/kg in 100 mL,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,"Published PCA formulation is ambiguous/implausibly low, successful delivered boluses are not reported, and actual cumulative sufentanil is unavailable",Postoperative PCIA section,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,MISSING / FORMULATION + DELIVERY UNRESOLVED,,,,,0,0,,,,
Liu 2026 (burn),LIU26BURN_TEAS_vs_SHAM_REMI,Pre-induction TEAS,Placebo/sham TEAS,Intraoperative opioid,Remifentanil consumption,Intraoperative,Median/IQR,44,44,43,43,,,0.7,0.5,1.1,,,,0.9,0.65,1.25,,mg remifentanil,0.039,Yes,No,,,No,No,Eligible for intraoperative opioid-sparing analysis using median/IQR methods,No,Abstract gives TEAS 0.65 (0.45-1.00) and control 0.90 (0.67-1.23); master uses Results/Figure 4 values and retains source discrepancy,Results / Figure 4,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,SOURCE-VERIFIED / ABSTRACT VALUE QC,F-intra-001,F-intra,F_intraop_titrated_requirement,MATCHED,0,0,Some concerns,P1,UNRESOLVED before pooling,0.70 (0.50–1.10) vs0.90 (0.65–1.25); P=0.039
Liu 2026 (burn),LIU26BURN_TEAS_vs_SHAM_PONV24,Pre-induction TEAS,Placebo/sham TEAS,PONV,Nausea-vomiting,Through POD1 / approximately 24 h,Events/total,44,44,43,43,,,,,,7,,,,,,16,participants,Published P=0.011 vs 0.028 conflict,Yes,No,RR,0.43750000000000006,No,No,Eligible using raw 7/43 vs 16/43 event counts with P-value QC,No,Two different P-values are printed for the same result,Secondary postoperative outcomes,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,SOURCE-VERIFIED / P-VALUE CONFLICT,,,,,0,0,,,,
Liu 2026 (burn),LIU26BURN_TEAS_vs_SHAM_RESCUE,Pre-induction TEAS,Placebo/sham TEAS,Rescue opioid use,Any rescue dezocine use,Through POD1,Events/total,44,44,43,43,,,,,,3,,,,,,8,participants,Table P=0.106; prose P=0.430,Yes,No,RR,0.375,No,No,Eligible for binary rescue-opioid-use analysis with source-statistic QC,No,All rescue users received one 5-mg IM dezocine dose; no repeat rescue doses were required,Rescue analgesia,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,SOURCE-VERIFIED / P-VALUE CONFLICT,F-rescue-opioid-008,F-rescue-opioid,F_rescue_opioid,MATCHED,0,0,Some concerns,P1,UNRESOLVED P-value,3/43 vs8/43
Liu 2026 (burn),LIU26BURN_TEAS_vs_SHAM_FVAS24,Pre-induction TEAS,Placebo/sham TEAS,Pain,Resting F-VAS pain,24 h,Graph-only continuous data,44,44,43,43,,,,,,,,,,,,,F-VAS 0-100 mm,0.039,No,No,,,No,No,Not ready for continuous pain meta-analysis without formal graph digitization or author data,No,Exact means/SDs are figure-only; do not infer numeric values from bar heights,Figure 5 / F3 24 h,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,,0,0,,,,
Liu 2026 (burn),LIU26BURN_TEAS_vs_SHAM_OPIOID24,Pre-induction TEAS,Placebo/sham TEAS,Opioid consumption,Complete postoperative opioid/MME exposure,0-24 h,Not calculable,44,44,43,43,,,,,,,,,,,,,sufentanil + butorphanol PCIA; rescue dezocine,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,"PCIA composition is known but bolus volume, basal rate, delivered-volume and successful-delivery counts are not; two opioids are present in the pump",Postoperative PCIA section,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,MISSING / COMBINED OPIOID EXPOSURE NOT CALCULABLE,,,,,0,0,,,,
Liu 2025,LIU25_EA_vs_CTRL_SVT24,Perioperative electroacupuncture,Control/sham procedure,Cardiac rhythm,New-onset supraventricular tachycardia (SVT),First 24 h,Events/total,40,40,38,39,,,,,,4,,,,,,13,participants,0.02,Yes,No,RR,0.3157894736842105,No,No,Eligible for dichotomous 24-h SVT analysis,No,Three randomized participants discontinued after randomization; preserve analyzed denominators 38 and 39,Primary outcome / first-24-h SVT,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Liu 2025,LIU25_EA_vs_CTRL_TSTN1,Perioperative electroacupuncture,Control/sham procedure,Sleep quality,Total sleep time measured by ambulatory sleep recorder,First postoperative night,Median/IQR,40,40,38,39,,,209.5,73.8,261.5,,,,119,48,193,,minutes,0.02,Yes,No,,,No,No,Eligible for objective postoperative sleep-duration analysis using median/IQR methods,No,Objective sleep-recorder endpoint; control electrical-current status is not completely clear in the publication,Objective sleep monitoring / first night,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Liu 2025,LIU25_EA_vs_CTRL_PAIN24,Perioperative electroacupuncture,Control/sham procedure,Pain,VAS pain intensity,24 h,Graph-only continuous data,40,40,38,39,,,,,,,,,,,,,VAS 0-10,Between-group difference not significant,No,No,,,No,No,Not ready for continuous 24-h pain pooling without formal digitization or author data,No,"Figure shows approximately 2/10 in both groups, but exact means/SDs are not numerically reported",Figure 2 / 24-h pain,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,,0,0,,,,
