"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"155","753","[Efficacy observation on knee osteoarthritis treated with electroacupuncture and its influence on articular cartilage with T2 mapping].","Bao","2013","English","yes","No","EXCLUDE_NON_SURGICAL","The trial treated chronic knee osteoarthritis over four weeks.","Non-operative chronic musculoskeletal population.","high","primary_results","yes","no","yes","EA for knee osteoarthritis","Physiotherapy","no","not_applicable","yes","no","","yes","no","no","no","yes","2026-07-26T11:20:14.589Z","none",""
"156","754","P6 acupoint stimulation for prevention of postoperative nausea and vomiting in patients undergoing craniotomy: study protocol for a randomized controlled trial.","Lv","2013","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The record explicitly describes a randomized trial protocol without results.","Protocol without participant results.","high","protocol","no","yes","yes","P6 acupuncture or P6 TENS","Placebo and routine antiemetic arms","yes","not_applicable","yes","yes","After recovery from general anaesthesia.","yes","no","no","no","yes","2026-07-26T11:20:17.743Z","none",""
"157","755","[Effect of electroacupuncture intervention at different phases of post-operation on bladder function in patients undergoing cervical cancer operation].","Hu","2013","English","yes","No","EXCLUDE_TIMING","EA began on postoperative day 7 or after day 15 following cervical-cancer surgery.","First eligible stimulation clearly began later than 24 postoperative hours.","high","primary_results","yes","unclear","yes","EA at sacral and lower-limb points","Early versus late EA timing groups","yes","not_applicable","yes","no","POD7–14 or after POD15.","yes","no","no","no","yes","2026-07-26T11:20:20.894Z","none",""
"158","756","[Effect of electroacupuncture combined with cervical plexus block on stress responses in patients undergoing thyroid surgery].","Zhang","2013","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Thyroidectomy was conducted with deep cervical plexus block and no general anaesthesia is reported.","Regional block only.","high","primary_results","yes","no","yes","Needle EA at LI4 and PC6 plus cervical plexus block","Sham EA plus identical block","yes","not_applicable","yes","yes","Twenty-minute perioperative session.","no","yes","no","no","yes","2026-07-26T11:20:24.044Z","none",""
"159","757","[Impacts of electroacupuncture at different frequencies on the postoperative nausea and vomiting of patients with laparoscopic surgery].","Tang","2013","English","yes","Yes","INCLUDE_CLEAR","Randomized laparoscopic-surgery trial under general anaesthesia compared multiple frequencies of EA at PC6 with control and measured postoperative nausea and vomiting.","Clear eligible perioperative EA RCT.","high","primary_results","yes","yes","yes","EA at bilateral PC6","No-EA control with identical anaesthetic program","yes","not_applicable","yes","yes","Started during the first half-hour of drug anaesthesia.","yes","no","no","no","yes","2026-07-26T11:20:24.736Z","none",""
"160","758","[Inflammatory-modulating mechanism of transcutaneous electrical acupoint stimulation combined with general anesthesia or controlled hypotension on postoperative hippocampal neuroprotection].","Liu","2013","English","yes","No","EXCLUDE_ANIMAL","The controlled-hypotension experiment used healthy male beagles.","Animal study.","high","primary_results","yes","yes","yes","TEAS during canine surgery","General-anaesthesia and controlled-hypotension canine groups","unclear","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:20:25.633Z","none",""
"161","759","Electroacupuncture on PC6 prevents opioid-induced nausea and vomiting after laparoscopic surgery.","Lee","2013","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized laparoscopic-surgery trial evaluated pre- versus postoperative EA at PC6 and PONV, but anaesthetic technique is not stated.","An eligible general-anaesthesia scenario is realistic and needs full-text confirmation.","medium","primary_results","yes","unclear","yes","Preoperative or postoperative EA at PC6","No acupuncture","yes","not_applicable","yes","yes","One arm received preoperative EA; postoperative timing not specified.","yes","no","no","no","yes","2026-07-26T11:20:26.509Z","none",""
"162","760","[Effects of electro-acupuncture combined general anesthesia on myocardial injury of high blood sugar patients with coronary heart disease in the perioperative phase].","Shen","2012","English","yes","No","EXCLUDE_NO_ELIGIBLE_OUTCOME","The randomized fracture-surgery study measured only glucose, vasoactive mediators and electrocardiographic ST changes.","Exclusively physiological and laboratory outcomes with no eligible clinical outcome reported.","high","primary_results","yes","yes","yes","EA at PC6 and GV20 with general anaesthesia","Identical general anaesthesia without EA","yes","not_applicable","yes","yes","From 20 minutes before induction through surgery.","no","yes","no","no","yes","2026-07-26T11:20:27.375Z","none",""
"163","762","Effects of electroacupuncture at auricular concha region on the depressive status of unpredictable chronic mild stress rat models.","Liu","2013","English","yes","No","EXCLUDE_ANIMAL","The depression experiment used Wistar rats and auricular-concha stimulation.","Animal study; auricular electrical acupuncture is also excluded.","high","primary_results","yes","no","yes","Auricular-concha electroacupuncture","Rat control groups","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:20:28.253Z","none",""
"164","763","[Involvement of cerebral neuroglobin in electroacupuncture preconditioning-induced protection effect in cerebral ischemia-reperfusion rats].","Xie","2012","English","yes","No","EXCLUDE_ANIMAL","The cerebral ischaemia-reperfusion experiment used rats.","Animal study.","high","primary_results","yes","no","yes","EA preconditioning at GV20","Rat sham and model groups","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:20:31.383Z","none",""
"165","764","[Effect of electroacupuncture at different acupoints on expression of cervico-spinal GDNF and BDNF and their receptor genes in neck-incision pain rats].","Wang","2012","English","yes","No","EXCLUDE_ANIMAL","The neck-incision pain experiment used Sprague-Dawley rats.","Animal study.","high","primary_results","yes","no","yes","EA at multiple acupoint sets","Rat model and control groups","unclear","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:20:34.524Z","none",""
"166","765","The effect of acupuncture on relieving pain after inguinal surgeries.","Taghavi","2013","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized inguinal-surgery trial compared EA with sham needle electrodes and reported postoperative pain and analgesic use, but anaesthetic technique is not stated.","General anaesthesia is the only major unresolved eligibility criterion.","medium","primary_results","yes","unclear","yes","Perioperative EA","Sham needle electrodes","yes","not_applicable","yes","yes","Perioperative/postoperative; exact start not fully reported.","yes","no","no","no","yes","2026-07-26T11:20:35.202Z","none",""
"167","766","Electroacupuncture alleviates intraoperative immunosuppression in patients undergoing supratentorial craniotomy.","Li","2013","English","yes","No","EXCLUDE_NO_ELIGIBLE_OUTCOME","The randomized craniotomy trial measured only cytokines, immunoglobulins and immune-cell counts.","Exclusively immune/laboratory outcomes with no eligible clinical outcome.","high","primary_results","yes","yes","yes","Needle EA during craniotomy","Sham acupuncture and control","yes","not_applicable","yes","yes","During craniotomy.","no","yes","no","no","yes","2026-07-26T11:20:36.075Z","none",""
"168","767","[Effects of electroacupuncture on supplementary analgesia and improvement of adverse reactions induced by dolantin in oocyte retrieval].","Chen","2012","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Oocyte retrieval used preoperative intramuscular dolantin with EA supplemental analgesia; general anaesthesia is not reported and the context indicates analgesia/sedation only.","No general anaesthesia.","high","primary_results","yes","no","yes","Needle EA during oocyte retrieval","Dolantin alone","yes","not_applicable","yes","yes","From after premedication through retrieval.","yes","no","no","no","yes","2026-07-26T11:20:39.199Z","none",""
"169","768","[Effect of electroacupuncture on the biochemical indices of bone and bone collagen metabolism and TNF-alpha in osteoporosis model rats without ovaries].","Bao","2012","English","yes","No","EXCLUDE_ANIMAL","The osteoporosis experiment used ovariectomized rats.","Animal study.","high","primary_results","yes","no","yes","EA at various acupoint prescriptions","Rat model control","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:20:39.873Z","none",""
"170","769","[Effects of transcutaneous electrical acupoint stimulation combined with general anesthesia for controlled hypotension on heart function and oxidation resistance of myocardium].","Fang","2012","English","yes","No","EXCLUDE_ANIMAL","The controlled-hypotension experiment used male beagles.","Animal study.","high","primary_results","yes","yes","yes","TEAS at LI4, ST36, SP6 and LI11","Canine general-anaesthesia/controlled-hypotension groups","unclear","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:20:42.997Z","none",""
"171","770","[Observation on analgesia effect of electroacupuncture during gynecologic outpatient operation].","Wang","2012","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Awake gynecologic outpatient procedures were compared with intravenous anaesthesia; the EA group did not receive general anaesthesia.","No eligible general-anaesthesia comparison.","high","primary_results","yes","no","yes","EA at LI4 and PC6 during awake procedure","Intravenous fentanyl/propofol anaesthesia","no","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:21:54.290Z","none",""
"172","771","[Analgesic effect of acupuncture compound anesthesia in functionality nasal endoscopic sinus surgery].","Tong","2012","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Endoscopic sinus surgery was performed under local anaesthesia.","No general anaesthesia.","high","primary_results","yes","no","yes","EA before local anaesthesia","Local anaesthesia regimens","unclear","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:21:54.973Z","none",""
"173","772","[Adhesive ileus treated by electroacupuncture at Zhigou (TE 6) and Zusanli (ST 36): a randomized controlled study].","Wen","2012","English","yes","No","EXCLUDE_NON_SURGICAL","EA was used as treatment for established adhesive ileus; no operative procedure in the eligible perioperative episode is described.","Non-operative treatment population.","high","primary_results","yes","no","yes","EA at TE6 and ST36","Non-acupoint EA","yes","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:21:58.102Z","none",""
