"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"233","310","Evaluation of the effects of manual acupuncture and electroacupuncture at LI4 and LI11 on perception thresholds: a prospective crossover trial.","Oyamaguchi","2023","English","yes","NO","EXCLUDE_NON_SURGICAL","Participants were healthy volunteers in a sensory-threshold crossover experiment, not surgical patients.","Non-surgical healthy-volunteer study.","high","journal article; crossover participant study","yes","3","0","","no","unclear","EA and manual acupuncture","control and manual acupuncture","not applicable","yes","not perioperative","yes","no","no","yes","2026-07-27T08:30:06.903Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"234","311","Electroacupuncture Before Gastrectomy Accelerates Recovery from Gastrointestinal Dysfunction: A Feasibility Study.","Wang","2022","English","yes","YES","INCLUDE_ELIGIBLE","Open-gastrectomy patients were randomly allocated to EA within 30 minutes before surgery or usual care, with postoperative recovery outcomes reported.","Eligible randomized preoperative EA trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for open gastrectomy","yes","EA at ST36, ST37 and ST39","usual care","yes","yes","yes; within 30 min preop","yes","no","no","yes","2026-07-27T08:30:10.250Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"235","313","Combined acupuncture-medicine anesthesia used in thyroid surgery: A systematic review and meta-analysis.","Zhang","2023","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The article is explicitly a systematic review and meta-analysis of prior trials.","Systematic review/meta-analysis.","high","systematic review and meta-analysis","yes","1","0","","not applicable","no primary trial","EA/TEAS-assisted anesthesia in included studies","various","not applicable","not applicable","not applicable","secondary synthesis only","no","no","yes","2026-07-27T08:30:11.373Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"236","314","Magnetic resonance imaging assessment of the therapeutic effect of combined electroacupuncture and stem cells in acute peripheral nerve injury.","Chen","2022","English","yes","NO","EXCLUDE_ANIMAL","The experiment used rats with acute sciatic nerve injury.","Animal study.","high","animal experiment","yes","2","0","","not applicable","yes","EA alone and EA plus stem cells","stem cells and PBS","varied","yes via EA-only arm","not human perioperative care","no human outcomes","no","no","yes","2026-07-27T08:30:42.817Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"237","315","Transcutaneous electrical acupoint stimulation to reduce opioid consumption in patients undergoing inguinal hernia repair: protocol for a randomized controlled trial.","Agrawal","2022","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and methods explicitly identify a protocol and describe future randomization and outcomes.","Protocol without participant results.","high","study protocol","no","7","1","general anaesthesia","not reported for hernia repair","planned randomized trial","postoperative TEAS","sham and no treatment","yes","yes","yes; immediate 24h postoperative protocol","planned only","no","no","yes","2026-07-27T08:30:46.239Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"238","316","Transcutaneous electrical acupoint stimulation combined with an integrated perioperative nursing program prevents subsyndromal delirium in older patients after joint replacement.","Qian","2022","English","yes","NO","EXCLUDE_INSEPARABLE_INTERVENTION","The experimental arm combined TEAS with a distinct integrated perioperative nursing program, while the control received routine care, so the independent TEAS effect cannot be separated.","TEAS bundled with unequal nursing intervention.","high","journal article; primary participant-results report","yes","5","1","general anaesthesia","not reported for joint replacement","yes","TEAS plus integrated nursing program","routine care","no","no","perioperative; exact schedule not stated","yes","no","no","yes","2026-07-27T08:30:49.621Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"239","317","Acupoint Stimulation for Enhanced Recovery After Colon Surgery: A Prospective Multicenter Randomized Controlled Trial.","Lu","2022","English","yes","YES","INCLUDE_ELIGIBLE","Adults undergoing laparoscopic colon surgery in a prospective multicenter randomized trial received TEAS 30 minutes before surgery and on postoperative days 1-3 versus no stimulation.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for laparoscopic colon surgery","yes; title","TEAS","no stimulation","yes; ERAS","yes","yes; 30 min preop","yes","no","no","yes","2026-07-27T08:30:50.717Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"240","320","Transcutaneous electrical acupoint stimulation for reducing cognitive dysfunction in lumbar spine surgery: A randomized, controlled trail.","Wang","2022","English","yes","YES","INCLUDE_ELIGIBLE","Older lumbar-spine-surgery patients under explicit general anesthesia were randomized to two perioperative TEAS schedules or sham, starting 30 minutes preoperatively.","Eligible randomized perioperative TEAS trial under GA.","high","journal article; primary participant-results report","yes","8","0","","yes; explicit","yes","3-day or 7-day TEAS at GV20 and GV14","sham TEAS","yes","yes","yes; 30 min preop","yes","no","no","yes","2026-07-27T08:30:54.050Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"241","322","Thoracic Jia-Ji electro-acupuncture mitigates low skeletal muscle atrophy and improves motor function recovery following thoracic spinal cord injury in rats.","Zhang","2022","English","yes","NO","EXCLUDE_ANIMAL","The experiment enrolled rats with spinal cord injury.","Animal study.","high","animal experiment","yes","2","0","","not applicable","yes","EA","SCI and sham groups","unclear","yes","not human perioperative care","no human outcomes","no","no","yes","2026-07-27T08:31:19.944Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"242","323","Effect of transcutaneous electrical acupoint stimulation on bone loss for patients with foot and ankle fracture: a pragmatic randomized controlled trial.","Guo","2022","English","yes","NO","EXCLUDE_TIMING","TEAS was evaluated as an eight-week treatment for bone loss during immobilization after fracture fixation, indicating later rehabilitation rather than initiation during acute recovery.","Later eight-week immobilization treatment.","high","journal article; primary participant-results report","yes","6","1","general anaesthesia","not reported for foot/ankle fixation","yes","TEAS plus orthopedic care","orthopedic care","yes","yes","no; later immobilization treatment","yes","no","no","yes","2026-07-27T08:31:23.296Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"243","324","Effect of Transcutaneous Acupoint Electrical Stimulation on Urinary Retention and Urinary ATP in Elderly Patients After Laparoscopic Cholecystectomy: A Prospective, Randomized, Controlled Clinical Trial.","Zhang","2022","English","yes","YES","INCLUDE_ELIGIBLE","Elderly laparoscopic-cholecystectomy patients were randomized to active or sham TEAS from before anesthesia induction through 45 minutes after surgery.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for laparoscopic surgery with induction","yes","active TEAS at acupuncture points","same acupoints with disconnected output","yes","yes","yes; pre-induction through 45 min postop","yes","no","no","yes","2026-07-27T08:31:26.665Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
